C,N,D,loss
8.808733756083985e+20,2282809197,64312089434,2.314015
9.283223717467074e+20,6795609987,22767697910,2.341917
9.527952889499e+20,1793812740,88526082629,2.30364
9.589465114187176e+20,1793812740,89097604796,2.30364
9.637196013851184e+20,1429235620,112381703436,2.331417
9.6478358057193e+20,2979527510,53967369949,2.30364
9.72920941335928e+20,2282809197,71032432497,2.293307
9.739615342991392e+20,1265595821,128261266129,2.331417
9.76866315811358e+20,2638636454,61702722400,2.286446
9.774573522063332e+20,1609082737,101243742749,2.314015
9.785929906110132e+20,2006678124,81278023519,2.30364
9.845628878076404e+20,1730547097,94821929364,2.30364
9.897802966598888e+20,4516062221,36528146577,2.320959
9.946530259730888e+20,4516062221,36707976153,2.30364
1.0122833531682387e+21,9293222063,18154509927,2.359528
1.0140094329607288e+21,12568994539,13445910222,2.416772
1.0148429509647972e+21,11451830548,14769734071,2.405931
1.2934573783822256e+21,2979527510,72352488432,2.276195
1.296638617414313e+21,1730547097,124877523735,2.286446
1.4991529113588075e+21,2006678124,124513650472,2.265985
1.5795547450809503e+21,6795609987,38739586983,2.293307
1.7950361606125183e+21,2282809197,131054620670,2.249076
1.9865475589378256e+21,4516059019,73314201258,2.249076
2.3081234654682127e+21,2638636454,145790165092,2.222281
2.441789481432357e+21,9293224259,43791573539,2.259205
2.6210105818569774e+21,2979527510,146612204602,2.212313
2.8759709657566266e+21,9293215473,51578325680,2.238988
2.877484491941246e+21,6795606774,70572174729,2.205694
2.9288609265185467e+21,16183346311,30163322120,2.286446
2.945119538586171e+21,2979527510,164741978288,2.212313
2.9558018830090366e+21,2638636454,186700083835,2.205694
2.9741731989753425e+21,12568994539,39437962330,2.265985
2.9886583229787847e+21,4516059019,110297433754,2.205694
3.019197987836002e+21,11451830548,43940544049,2.265985
3.2208857329498026e+21,6795606774,78994313041,2.205694
5.031322209115321e+21,9293216132,90232884891,2.179415
1.2956022673438285e+22,6795614805,317754489344,2.077394
